Word,Position,Frequency,MI,Log-Likelihood
haindir,right,1,8.9448,12.4001
gösterdi…,right,1,8.9448,12.4001
sevdalarının,right,1,8.9448,12.4001
düşünceme,right,1,8.9448,12.4001
bilmeyen,left,2,4.4529,12.3462
akıyor,right,2,4.4529,12.3462
döne,right,2,4.4529,12.3462
göğün,right,2,4.4212,12.2582
hiçbir,right,4,2.1966,12.1805
içre,right,2,4.3598,12.0880
baksam,right,2,4.3301,12.0055
gülen,right,2,4.3301,12.0055
en,right,7,1.2345,11.9794
aklım,right,2,4.3009,11.9247
düşündüm,right,2,4.2724,11.8455
kalma,right,2,4.2169,11.6916
korkuyorum,right,2,4.1899,11.6169
geçtim,right,2,4.1899,11.6169
vardım,right,2,4.1899,11.6169
tam,right,3,2.7682,11.5126
karanlığı,right,2,4.0868,11.3310
sessizlik,right,2,4.0379,11.1954
bekleyen,left,2,4.0140,11.1293
onda,right,2,4.0140,11.1293
belirdiği,left,1,7.9448,11.0138
güçsüzlüğü,left,1,7.9448,11.0138
mısralarla,left,1,7.9448,11.0138
kabız,left,1,7.9448,11.0138
kıskandığı,left,1,7.9448,11.0138
sandigin,left,1,7.9448,11.0138
dinlenme,left,1,7.9448,11.0138
asarak,left,1,7.9448,11.0138
düşmekten,left,1,7.9448,11.0138
hatırlattığı,left,1,7.9448,11.0138
yakınlar,left,1,7.9448,11.0138
kırıldığın,left,1,7.9448,11.0138
kaydığı,left,1,7.9448,11.0138
ağardığı,left,1,7.9448,11.0138
çelişkili,left,1,7.9448,11.0138
çizsem,left,1,7.9448,11.0138
katildi,left,1,7.9448,11.0138
karanfilleri,left,1,7.9448,11.0138
ahvalim,left,1,7.9448,11.0138
nakşoldu,left,1,7.9448,11.0138
uyandığı,left,1,7.9448,11.0138
başlamışsa,left,1,7.9448,11.0138
hallaçla,left,1,7.9448,11.0138
sanmakla,left,1,7.9448,11.0138
gümbürtüsüne,left,1,7.9448,11.0138
sarsılıyordu,left,1,7.9448,11.0138
nargileler,left,1,7.9448,11.0138
başladığın,left,1,7.9448,11.0138
gevrek,left,1,7.9448,11.0138
serdiği,left,1,7.9448,11.0138
katmanın,left,1,7.9448,11.0138
yatmanın,left,1,7.9448,11.0138
boğdular,left,1,7.9448,11.0138
daldığım,left,1,7.9448,11.0138
duyumsadığım,left,1,7.9448,11.0138
açtır,left,1,7.9448,11.0138
kalmayalım,left,1,7.9448,11.0138
kısalırken,left,1,7.9448,11.0138
söndüğü,left,1,7.9448,11.0138
dolaştığım,left,1,7.9448,11.0138
normal,left,1,7.9448,11.0138
izleriyle,left,1,7.9448,11.0138
aydınlanacak,right,1,7.9448,11.0138
buluşalım,right,1,7.9448,11.0138
olusar,right,1,7.9448,11.0138
olısar,right,1,7.9448,11.0138
sıteyşın,right,1,7.9448,11.0138
hersey,right,1,7.9448,11.0138
parçalanırken,right,1,7.9448,11.0138
aylası,right,1,7.9448,11.0138
küçüktü,right,1,7.9448,11.0138
özlüyordum,right,1,7.9448,11.0138
eritti,right,1,7.9448,11.0138
kazanıp,right,1,7.9448,11.0138
sözetmeyi,right,1,7.9448,11.0138
alçaklar,right,1,7.9448,11.0138
köreldi,right,1,7.9448,11.0138
ıslanmasın,right,1,7.9448,11.0138
yararlı,right,1,7.9448,11.0138
sembol,right,1,7.9448,11.0138
aradıkça,right,1,7.9448,11.0138
kuyusundan,right,1,7.9448,11.0138
dolmasını,right,1,7.9448,11.0138
devşirdiği,right,1,7.9448,11.0138
yakaladın,right,1,7.9448,11.0138
şehriye,right,1,7.9448,11.0138
kapatsam,right,1,7.9448,11.0138
mücadelesi,right,1,7.9448,11.0138
ayırabilirsin,right,1,7.9448,11.0138
yuttu,right,1,7.9448,11.0138
nereyi,right,1,7.9448,11.0138
dondurdum,right,1,7.9448,11.0138
bilinmek,right,1,7.9448,11.0138
sularin,right,1,7.9448,11.0138
salça,right,1,7.9448,11.0138
sevdigin,right,1,7.9448,11.0138
utançtan,right,1,7.9448,11.0138
perisinin,right,1,7.9448,11.0138
uzakları,right,1,7.9448,11.0138
kırbacına,right,1,7.9448,11.0138
raksı,right,1,7.9448,11.0138
rembrand'dan,right,1,7.9448,11.0138
bakkalda,right,1,7.9448,11.0138
hallaçla,right,1,7.9448,11.0138
sinekleri,right,1,7.9448,11.0138
meyhanelerin,right,1,7.9448,11.0138
anlaşılmadı,right,1,7.9448,11.0138
oları,right,1,7.9448,11.0138
özlesem,right,1,7.9448,11.0138
mevsimlerle,right,1,7.9448,11.0138
künyeme,right,1,7.9448,11.0138
bulamadan,right,1,7.9448,11.0138
kararırken,right,1,7.9448,11.0138
kipiyle,right,1,7.9448,11.0138
adin,right,1,7.9448,11.0138
tekrarlayıp,right,1,7.9448,11.0138
dolduk,right,1,7.9448,11.0138
taştık,right,1,7.9448,11.0138
yaşlanmaktan,right,1,7.9448,11.0138
abartılı,right,1,7.9448,11.0138
buhranlı,right,1,7.9448,11.0138
defineler,right,1,7.9448,11.0138
haklarından,right,1,7.9448,11.0138
damarlarınızda,right,1,7.9448,11.0138
tahtayı,right,1,7.9448,11.0138
esneyen,right,1,7.9448,11.0138
özlemeye,right,1,7.9448,11.0138
geçitler,right,1,7.9448,11.0138
pars,right,1,7.9448,11.0138
savaşi,right,1,7.9448,11.0138
tenceresi,right,1,7.9448,11.0138
onca,left,2,3.8787,10.7540
olduğum,left,2,3.8787,10.7540
olduğum,right,2,3.8787,10.7540
sonsuz,right,3,2.5814,10.7357
çabuk,right,2,3.8573,10.6948
öte,right,2,3.8155,10.5788
ve,left,21,0.3620,10.5378
ersin,left,1,7.3598,10.2029
güvendiğim,left,1,7.3598,10.2029
bursa'da,left,1,7.3598,10.2029
konakta,left,1,7.3598,10.2029
yitirdiğin,left,1,7.3598,10.2029
ağaçlarıyla,left,1,7.3598,10.2029
alıkoyan,left,1,7.3598,10.2029
aynasını,left,1,7.3598,10.2029
büyüdüğü,left,1,7.3598,10.2029
uydur,left,1,7.3598,10.2029
sentetik,left,1,7.3598,10.2029
mecnûnu,left,1,7.3598,10.2029
giydiği,left,1,7.3598,10.2029
sahibisin,left,1,7.3598,10.2029
kansın,left,1,7.3598,10.2029
arzularla,left,1,7.3598,10.2029
duyuyorsan,left,1,7.3598,10.2029
eskiydi,left,1,7.3598,10.2029
yıkanırdı,left,1,7.3598,10.2029
yasamin,left,1,7.3598,10.2029
dudaklarınız,left,1,7.3598,10.2029
geçiriyorum,left,1,7.3598,10.2029
çeliğine,left,1,7.3598,10.2029
gittimse,left,1,7.3598,10.2029
kurtarılmış,left,1,7.3598,10.2029
duyuluyor,left,1,7.3598,10.2029
hapishaneler,right,1,7.3598,10.2029
şaşırtıcı,right,1,7.3598,10.2029
kalbimizde,right,1,7.3598,10.2029
göklerdedir,right,1,7.3598,10.2029
kızlarla,right,1,7.3598,10.2029
demirel,right,1,7.3598,10.2029
alil,right,1,7.3598,10.2029
sevmedin,right,1,7.3598,10.2029
aldattın,right,1,7.3598,10.2029
saatli,right,1,7.3598,10.2029
kaldırdım,right,1,7.3598,10.2029
söylesen,right,1,7.3598,10.2029
yaşadılar,right,1,7.3598,10.2029
dineceğini,right,1,7.3598,10.2029
savunduğunuz,right,1,7.3598,10.2029
çoğaltır,right,1,7.3598,10.2029
faydalı,right,1,7.3598,10.2029
baharat,right,1,7.3598,10.2029
ertelediğim,right,1,7.3598,10.2029
karıncaları,right,1,7.3598,10.2029
işıkla,right,1,7.3598,10.2029
bulacağım,right,1,7.3598,10.2029
filizler,right,1,7.3598,10.2029
eşyayı,right,1,7.3598,10.2029
isrâf,right,1,7.3598,10.2029
nîm,right,1,7.3598,10.2029
uğramadığı,right,1,7.3598,10.2029
nazı,right,1,7.3598,10.2029
yasadışı,right,1,7.3598,10.2029
varsak,right,1,7.3598,10.2029
boşluklarında,right,1,7.3598,10.2029
